game_title,game_release_date,game_critic_score,game_user_score,video_number,video_total_views,video_total_likes,video_total_dislikes,video_total_favorites,video_total_comments,game_total_critic_reviews,game_total_user_reviews,game_type,game_rating,game_critic_positive_reviews,game_critic_mixed_reviews,game_critic_negative_reviews,game_user_positive_reviews,game_user_mixed_reviews,game_user_negative_reviews,video_average_views,X,all_critic_num,all_user_num_2,all_game_types,all_ratings,all_critic_positive,all_critic_mixed,all_critic_negative,all_user_positive,all_user_mixed,all_user_negative,global_sale_list
FIFA Manager 09,2008-12-19,69,7.1,50,40446,500,14,0,231,13,22,Sports,E,5,7,1,2,1,1,808.92,168,13,22,Sports,E,5,7,1,2,1,1,0
Sinking Island,2008-08-21,68,7.1,23,27458,146,13,0,24,8,20,Adventure,T,1,7,0,0,1,1,1193.82608695652,170,8,20,Adventure,T,1,7,0,0,1,1,0
Batman: Arkham Asylum,2009-09-15,91,8.7,27,32149,564,15,0,125,29,1757,Action Adventure,T,29,0,0,189,31,31,1190.7037037037,174,29,1759,Action Adventure,T,29,0,0,189,31,31,0.32
Street Fighter IV,2009-07-01,91,8,50,66012,595,20,0,130,23,356,Action,T,23,0,0,21,4,4,1320.24,175,23,356,Action,T,23,0,0,21,4,4,0.13
Dragon Age: Origins,2009-11-03,91,8.6,35,34080,433,28,0,125,67,3576,Role-Playing,M,66,1,0,470,89,89,973.714285714286,176,67,3579,Role-Playing,M,66,1,0,470,89,89,0.51
Empire: Total War,2009-03-03,90,6.9,36,5493160,14685,1567,0,4987,62,2989,Strategy,T,61,1,0,327,186,186,152587.777777778,177,62,2990,Strategy,T,61,1,0,327,186,186,1.09
Left 4 Dead 2,2009-11-17,89,8.5,50,116808,1631,13,0,1294,55,2552,Action,M,55,0,0,344,76,76,2336.16,178,55,2552,Action,M,55,0,0,344,76,76,0.36
DiRT 2,2009-12-08,89,8.2,4,935,20,0,0,6,22,355,Driving,T,22,0,0,37,5,5,233.75,179,22,355,Driving,T,22,0,0,37,5,5,0.05
Plants vs. Zombies,2009-08-18,87,8.9,9,7018,85,6,0,26,41,898,Strategy,E10+,40,1,0,177,10,10,779.777777777778,181,41,898,Strategy,E10+,40,1,0,177,10,10,0.05
Football Manager 2010,2009-11-03,87,9,4,1986,13,2,0,7,33,265,Sports,E,33,0,0,9,2,2,496.5,182,33,266,Sports,E,33,0,0,9,2,2,0.07
Burnout Paradise: The Ultimate Box,2009-02-05,87,7.5,6,5177,87,2,0,3,26,437,Driving,E10+,26,0,0,40,15,15,862.833333333333,183,26,437,Driving,E10+,26,0,0,40,15,15,0.09
The Sims 3,2009-06-02,86,7.6,49,76891,2190,32,0,579,75,896,Simulation,T,74,1,0,110,34,34,1569.20408163265,184,75,897,Simulation,T,74,1,0,110,34,34,8.02
Machinarium,2009-10-16,85,8.8,45,21917830,175384,5539,0,55427,47,533,Adventure,NA,43,4,0,75,14,14,487062.888888889,187,47,533,Adventure,NA,43,4,0,75,14,14,0.11
Need for Speed: Shift,2009-09-15,83,5.8,46,32929244,416389,8871,0,68577,22,389,Driving,E,21,1,0,38,23,23,715853.130434783,191,22,389,Driving,E,21,1,0,38,23,23,0.06
